2023-Nov-12-22:22:55,Load phase Started
2023-Nov-12-22:22:55,Load phase Ended
2023-Nov-12-22:22:55,ETL Job Ended
2023-Nov-12-22:22:56,ETL Job Started
2023-Nov-12-22:22:56,Extract phase Started
2023-Nov-12-22:22:56,Extract phase Ended
2023-Nov-12-22:22:56,Transform phase Started
2023-Nov-12-22:22:56,Transform phase Ended
2023-Nov-12-22:22:56,Load phase Started
2023-Nov-12-22:22:56,Load phase Ended
2023-Nov-12-22:22:56,ETL Job Ended
2023-Nov-12-22:22:56,ETL Job Started
2023-Nov-12-22:22:56,Extract phase Started
2023-Nov-12-22:22:56,Extract phase Ended
2023-Nov-12-22:22:56,Transform phase Started
2023-Nov-12-22:22:56,Transform phase Ended
2023-Nov-12-22:22:56,Load phase Started
2023-Nov-12-22:22:56,Load phase Ended
2023-Nov-12-22:22:56,ETL Job Ended
2023-Nov-12-22:55:13,ETL Job Started
2023-Nov-12-22:55:13,Extract phase Started
2023-Nov-12-23:01:04,ETL Job Started
2023-Nov-12-23:01:04,Extract phase Started
2023-Nov-12-23:01:04,Extract phase Ended
2023-Nov-12-23:01:04,Transform phase Started
2023-Nov-12-23:01:04,Transform phase Ended
2023-Nov-12-23:01:04,Load phase Started
2023-Nov-12-23:01:04,Load phase Ended
2023-Nov-12-23:01:04,ETL Job Ended
2023-Nov-12-23:01:35,ETL Job Started
2023-Nov-12-23:01:35,Extract phase Started
2023-Nov-12-23:01:35,Extract phase Ended
2023-Nov-12-23:01:35,Transform phase Started
2023-Nov-12-23:01:35,Transform phase Ended
2023-Nov-12-23:01:35,Load phase Started
2023-Nov-12-23:01:35,Load phase Ended
2023-Nov-12-23:01:35,ETL Job Ended
2023-Nov-12-23:01:47,ETL Job Started
2023-Nov-12-23:01:47,Extract phase Started
2023-Nov-12-23:01:48,Extract phase Ended
2023-Nov-12-23:01:48,Transform phase Started
2023-Nov-12-23:01:48,Transform phase Ended
2023-Nov-12-23:01:48,Load phase Started
2023-Nov-12-23:01:48,Load phase Ended
2023-Nov-12-23:01:48,ETL Job Ended
2023-Nov-12-23:01:59,ETL Job Started
2023-Nov-12-23:01:59,Extract phase Started
2023-Nov-12-23:01:59,Extract phase Ended
2023-Nov-12-23:01:59,Transform phase Started
2023-Nov-12-23:01:59,Transform phase Ended
2023-Nov-12-23:01:59,Load phase Started
2023-Nov-12-23:01:59,Load phase Ended
2023-Nov-12-23:01:59,ETL Job Ended
2023-Nov-12-23:02:13,ETL Job Started
2023-Nov-12-23:02:13,Extract phase Started
2023-Nov-12-23:02:13,Extract phase Ended
2023-Nov-12-23:02:13,Transform phase Started
2023-Nov-12-23:02:13,Transform phase Ended
2023-Nov-12-23:02:13,Load phase Started
2023-Nov-12-23:02:13,Load phase Ended
2023-Nov-12-23:02:13,ETL Job Ended
